t,error,base_angle_deg,base_omega,effort,smoothness,mu,lambda,manipulability
0.002,0.6084514857315472,0.0009374699006493974,0.008057794079476314,0.24099953825851572,2409.9953825851576,8.0,0.04,0.14248908107260377
0.012,0.6077886108654232,0.021643966753437823,0.054455291205078506,0.24106645611697403,0.28738286166507576,8.0,0.04,0.14246679446424046
0.022000000000000006,0.606533532781104,0.06433937655316742,0.08588427053598362,0.2412668430973591,0.9518828808091198,8.0,0.04,0.1424524179015019
0.032000000000000015,0.6049988628330363,0.11981593780252726,0.10295067577109064,0.24171481045793533,1.3767641966555677,8.0,0.04,0.1424498770882689
0.04200000000000002,0.6033242301896783,0.18210527413066865,0.1119790816847039,0.2424844139361178,1.621729420833024,8.0,0.04,0.14245348571843372
0.05200000000000003,0.6015796250763648,0.24802146115718293,0.11681541612874163,0.24360954193345224,1.7571800521032166,8.0,0.04,0.142459683751905
0.06200000000000004,0.5998008317406391,0.31591360021111353,0.11948892796271429,0.24510334026607505,1.8308948409629522,8.0,0.04,0.14246666381081688
0.07200000000000005,0.5980061993763847,0.38492945258130545,0.1210468213922343,0.2469700343256175,1.871191939202636,8.0,0.04,0.14247355066349604
0.08200000000000006,0.5962051337755034,0.45462815523307604,0.12202734810949088,0.249210541942525,1.8937512187119734,8.0,0.04,0.1424799334201196
0.09200000000000007,0.5944024468576303,0.5247803846344606,0.12270700447535458,0.2518248266939225,1.9069675851808063,8.0,0.04,0.14248562814849847
0.10200000000000008,0.5926005895362181,0.5952656163432944,0.12322787098977171,0.25481276266552155,1.9152609058327879,8.0,0.04,0.14249056031177135
0.11200000000000009,0.5908007988794443,0.666019333353718,0.12366301562763006,0.25817438160030964,1.9209380139542183,8.0,0.04,0.1424947070243619
0.1220000000000001,0.5890032103726517,0.7369977046648862,0.12402198535920718,0.26191382090390347,1.9277218711595274,8.0,0.04,0.14249753382126962
0.1320000000000001,0.5872063869036392,0.8081769194895301,0.12438244324929991,0.266045401599601,1.9420356907081993,8.0,0.04,0.14249746537692412
0.1420000000000001,0.585411453153659,0.8795731857502783,0.12476024127326206,0.2705616251902551,1.9497961824591123,8.0,0.04,0.14249596923310817
